Company,Ticker,Type,InvestedBy,RecentAdds,RecentDels,investorTypeCount,investorType,InvestedByList,RecentAddsList,RecentDelsList
Tanla Platforms,TANLA,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
TD Power Systems,TDPOWERSYS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Titagarh Rail,TITAGARH,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Tube Investments,TIINDIA,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Varroc Engineer,VARROC,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Varun Beverages,VBL,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Westlife Food,WESTLIFE,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Advanced Enzyme,ADVENZYMES,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Ahluwalia Contr.,AHLUCONT,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
D B Corp,DBCORP,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Elgi Equipments,ELGIEQUIP,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
GE Shipping Co,GESHIP,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Info Edg.(India),NAUKRI,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Just Dial,JUSTDIAL,ALL,1,0,0,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,
Jyothy Labs,JYOTHYLAB,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Mindtree,MINDTREE,ALL,1,0,0,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,
NRB Bearings,NRBBEARING,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Triveni Turbine,TRITURBINE,ALL,2,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED | Jupiter India Fund,,NALANDA INDIA EQUITY FUND nLIMITED
TTK Prestige,TTKPRESTIG,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Volt.Transform.,VOLTAMP,ALL,1,0,1,1,FII,NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
Apollo Micro Sys,APOLLO,ALL,1,0,0,1,FII,Jupiter India Fund,,
Biocon,BIOCON,ALL,1,0,0,1,FII,Jupiter India Fund,,
Dec.Gold Mines,512068,ALL,1,0,0,1,FII,Jupiter India Fund,,
EIH Assoc.Hotels,EIHAHOTELS,ALL,1,0,0,1,FII,Jupiter India Fund,,
Elpro Internatio,ELPROINTL,ALL,1,0,0,1,FII,Jupiter India Fund,,
Equinox India,EMBDL,ALL,1,0,0,1,FII,Jupiter India Fund,,
Force Motors,FORCEMOT,ALL,1,0,0,1,FII,Jupiter India Fund,,
Godfrey Phillips,GODFRYPHLP,ALL,1,0,1,1,FII,Jupiter India Fund,,Jupiter India Fund
KDDL Ltd,KDDL,ALL,1,0,0,1,FII,Jupiter India Fund,,
Medi Assist Ser.,MEDIASSIST,ALL,1,1,0,1,FII,Jupiter India Fund,Jupiter India Fund,
Milkfood,507621,ALL,1,0,1,1,FII,Jupiter India Fund,,Jupiter India Fund
Olectra Greentec,OLECTRA,ALL,1,0,0,1,FII,Jupiter India Fund,,
SML ISUZU,SMLISUZU,ALL,1,0,0,1,FII,Jupiter India Fund,,
SpiceJet,SPICEJET,ALL,1,0,0,1,FII,Jupiter India Fund,,
The Byke Hospi.,BYKE,ALL,1,0,0,1,FII,Jupiter India Fund,,
TTK Healthcare,TTKHLTCARE,ALL,1,0,0,1,FII,Jupiter India Fund,,
Yatharth Hospit.,YATHARTH,ALL,1,1,0,1,FII,Jupiter India Fund,Jupiter India Fund,
Recent Adds: 91, Recent Dels: 137, All: 577 
